Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Hyundai,2017.0,Veloster,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.6,126077.0,NSW,4,Hatchback,3,4,19800.0
Fiat,2014.0,500,Hatchback,USED,Automatic,1.4,Front,Premium,6.3,62305.0,NSW,4,Hatchback,3,4,11400.0
GWM,2022.0,Haval,Suttons GWM Haval Chullora- New/Demo,DEMO,Automatic,1.5,Front,Hybrid,5.0,720.0,NSW,4,SUV,4,5,39100.0
Holden,2018.0,Colorado,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,9.0,43899.0,WA,4,Ute / Tray,4,5,42975.0
BMW,2018.0,X3,SUV,USED,Automatic,2.0,4WD,Diesel,5.7,147211.0,NSW,4,SUV,4,5,38800.0
BMW,2013.0,X5,SUV,USED,Automatic,3.0,4WD,Diesel,7.4,155810.0,NSW,6,SUV,4,5,19999.0
Isuzu,2021.0,D-MAX,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,8.0,16799.0,NSW,4,Ute / Tray,4,5,59990.0
Honda,2011.0,Accord,Sedan,USED,Automatic,2.4,Front,Unleaded,8.7,117599.0,VIC,4,Sedan,4,5,17490.0
Land,2017.0,Rover,SUV,USED,Automatic,3.0,4WD,Diesel,7.2,123647.0,NSW,6,SUV,4,5,64800.0
Toyota,2018.0,Hilux,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,8.5,100290.0,WA,4,Ute / Tray,4,5,44990.0
Nissan,2014.0,X-Trail,SUV,USED,Automatic,2.5,4WD,Unleaded,8.3,164736.0,NSW,4,SUV,4,5,17990.0
Volkswagen,2012.0,Golf,Hatchback,USED,Manual,2.0,Front,Premium,7.7,101702.0,NSW,4,Hatchback,5,5,17990.0
Chrysler,2008.0,Sebring,Sedan,USED,Automatic,2.7,Front,Unleaded,9.7,92354.0,NSW,6,Sedan,4,5,3750.0
Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,2.4,Rear,Diesel,7.5,101090.0,WA,4,Ute / Tray,4,5,25490.0
Audi,2023.0,A4,Audi Alto Artarmon New Cars,DEMO,Automatic,2.0,Front,Premium,6.1,2088.0,NSW,4,Sedan,4,5,69788.0
Mitsubishi,2016.0,Triton,Ute / Tray,USED,Automatic,2.4,4WD,Diesel,7.6,25533.0,NSW,4,Ute / Tray,4,5,31999.0
BMW,2013.0,X5,SUV,USED,Automatic,3.0,4WD,Diesel,7.4,245293.0,NSW,6,SUV,4,5,21990.0
Mercedes-Benz,2016.0,C200,Sedan,USED,Automatic,2.0,Rear,Premium,6.0,63226.0,NSW,4,Sedan,4,5,39990.0
Ford,2022.0,Ranger,Ute / Tray,USED,Automatic,2.0,4WD,Diesel,7.6,11315.0,WA,4,Ute / Tray,4,4,61850.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,54646.0,NSW,4,Hatchback,4,5,22990.0
Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,8.5,130175.0,WA,4,Ute / Tray,4,5,44975.0
Holden,2013.0,Commodore,Sedan,USED,Automatic,3.0,Rear,Unleaded,8.3,173218.0,NSW,6,Sedan,4,5,14995.0
Toyota,2023.0,RAV4,SUV,USED,Automatic,2.5,Front,Hybrid,4.8,49.0,NSW,4,SUV,5,5,60888.0
Peugeot,2022.0,Expert,Continental Cars Citroen Centre,DEMO,Manual,2.0,Front,Diesel,6.0,798.0,NSW,4,Commercial,2,3,42980.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,54193.0,NSW,4,Hatchback,4,5,21990.0
Subaru,2013.0,Forester,SUV,USED,Automatic,2.5,AWD,Unleaded,8.1,238473.0,WA,4,SUV,4,5,10980.0
Ford,2022.0,Everest,SUV,USED,Automatic,3.2,4WD,Diesel,8.5,15507.0,NSW,5,SUV,4,7,59990.0
Mitsubishi,2007.0,Delica,National Vehicles,USED,Automatic,2.0,Other,Unleaded,7.4,128000.0,VIC,4,Wagon,4,5,18888.0
Nissan,2023.0,Qashqai,SUV,USED,Automatic,1.3,Front,Premium,6.1,5107.0,WA,4,SUV,4,5,43555.0
Mazda,2022.0,CX-9,Stanmore Mazda,DEMO,Automatic,2.5,AWD,Unleaded,8.8,4288.0,NSW,4,SUV,4,7,67990.0
Kia,2019.0,Stinger,Sedan,USED,Automatic,3.3,Rear,Unleaded,10.2,36285.0,NSW,6,Sedan,4,5,53950.0
Holden,2016.0,Colorado,Ute / Tray,USED,Manual,2.8,4WD,Diesel,7.9,142999.0,NSW,4,Ute / Tray,4,5,29900.0
Volkswagen,2023.0,Tiguan,DEMO,DEMO,Automatic,2.0,Front,Premium,7.4,10.0,NSW,4,Wagon,4,5,55990.0
Toyota,2008.0,Kluger,SUV,USED,Automatic,3.5,Front,Unleaded,11.0,241220.0,NSW,6,SUV,4,7,13990.0
Mitsubishi,2019.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,63197.0,WA,4,SUV,4,5,26888.0
Toyota,2022.0,RAV4,SUV,USED,Automatic,2.0,Front,Unleaded,6.0,8492.0,NSW,4,SUV,5,5,39990.0
Hyundai,2018.0,Santa,SUV,USED,Automatic,2.2,AWD,Diesel,7.5,136800.0,NSW,4,SUV,4,7,37888.0
Mercedes-Benz,2019.0,C300,Sedan,USED,Automatic,2.0,Rear,Premium,7.0,106075.0,VIC,4,Sedan,4,4,46990.0
Subaru,2022.0,WRX,Sedan,USED,Manual,2.4,AWD,Premium,9.9,7664.0,NSW,4,Sedan,4,5,48990.0
Ford,2021.0,Ranger,Ute / Tray,USED,Automatic,3.2,4WD,Diesel,8.9,12810.0,WA,5,Ute / Tray,4,5,53990.0
Mazda,2023.0,CX-30,Rockdale Mazda New,NEW,Automatic,2.5,Front,Unleaded,6.6,7.0,NSW,4,SUV,4,5,44388.0
Mitsubishi,2019.0,Eclipse,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,60972.0,NSW,4,SUV,4,5,28990.0
Subaru,2018.0,Outback,SUV,USED,Automatic,2.5,AWD,Unleaded,7.3,78950.0,NSW,4,SUV,4,5,28995.0
Mazda,2022.0,CX-5,Rockdale Mazda New,DEMO,Automatic,2.5,Front,Unleaded,7.5,1255.0,NSW,4,SUV,4,5,44388.0
Toyota,2021.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Hybrid,4.2,53603.0,NSW,4,Hatchback,5,5,29888.0
Lexus,2019.0,IS350,Sedan,USED,Automatic,3.5,Rear,Premium,9.7,33108.0,NSW,6,Sedan,4,5,49990.0
Jaguar,2009.0,X,Sedan,USED,Automatic,2.2,Front,Diesel,6.9,62650.0,VIC,4,Sedan,4,5,15990.0
Volkswagen,2021.0,Polo,Hatchback,USED,Automatic,1.0,Front,Premium,5.0,34875.0,WA,3,Hatchback,5,5,22750.0
Jeep,2012.0,Grand,SUV,USED,Automatic,3.0,AWD,Diesel,8.3,234564.0,NSW,6,SUV,4,5,13800.0
Hyundai,2019.0,Kona,SUV,USED,Automatic,2.0,Front,Unleaded,7.2,61796.0,NSW,4,SUV,4,5,30990.0
Ford,2016.0,Everest,SUV,USED,Automatic,3.2,AWD,Diesel,8.5,84301.0,NSW,5,SUV,4,7,44900.0
Isuzu,2018.0,MU-X,SUV,USED,Automatic,3.0,4WD,Diesel,7.9,160275.0,WA,4,SUV,4,7,36880.0
Mazda,2023.0,CX-30,Rockdale Mazda New,NEW,Automatic,2.5,Front,Unleaded,6.6,7.0,NSW,4,SUV,4,5,44528.0
Isuzu,2018.0,MU-X,SUV,USED,Automatic,3.0,4WD,Diesel,7.9,74795.0,NSW,4,SUV,4,7,47990.0
Toyota,2012.0,Hilux,Ute / Tray,USED,Manual,3.0,4WD,Diesel,8.3,226164.0,QLD,4,Ute / Tray,2,4,34990.0
Toyota,2022.0,RAV4,SUV,USED,Automatic,2.5,AWD,Hybrid,4.8,15564.0,WA,4,SUV,5,5,63888.0
Hyundai,2015.0,Imax,Wagon,USED,Automatic,2.5,Rear,Diesel,9.0,69089.0,NSW,4,Wagon,4,8,32940.0
Fiat,2013.0,500,Convertible,USED,Automatic,1.2,Front,Premium,5.0,100304.0,NSW,4,Convertible,2,4,14990.0
Mitsubishi,2015.0,Outlander,SUV,USED,Automatic,2.0,Front,Unleaded,6.6,138682.0,NSW,4,SUV,4,5,19950.0
Subaru,2017.0,Forester,SUV,USED,Manual,2.0,AWD,Diesel,5.9,186181.0,NSW,4,SUV,4,5,18920.0
Audi,2018.0,S4,Sedan,USED,Automatic,3.0,AWD,Premium,7.7,37714.0,NSW,6,Sedan,4,5,59888.0
Ford,2020.0,Ranger,Ute / Tray,USED,Automatic,2.0,4WD,Diesel,7.4,44083.0,NSW,4,Ute / Tray,4,4,55990.0
Volkswagen,2018.0,Polo,Hatchback,USED,Automatic,1.0,Front,Premium,5.0,52605.0,NSW,3,Hatchback,5,5,19990.0
Nissan,2017.0,X-Trail,SUV,USED,Automatic,2.5,4WD,Unleaded,8.3,63565.0,NSW,4,SUV,4,5,25990.0
Mazda,2014.0,2,Hatchback,USED,Manual,1.5,Front,Unleaded,5.2,129106.0,NSW,4,Hatchback,5,5,12888.0
Subaru,2005.0,Forester,SUV,USED,Automatic,2.5,AWD,Unleaded,10.0,231001.0,NSW,4,SUV,4,5,6750.0
Mercedes-Benz,2015.0,C250,Sedan,USED,Automatic,2.0,Rear,Premium,6.0,55205.0,WA,4,Sedan,4,5,44990.0
Subaru,2017.0,WRX,Sedan,USED,Automatic,2.0,AWD,Premium,8.6,79228.0,NSW,4,Sedan,4,5,37990.0
Hyundai,2020.0,Elantra,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,74833.0,NSW,4,Sedan,4,5,23950.0
BMW,2021.0,128TI,Hatchback,USED,Automatic,2.0,Front,Premium,6.8,20297.0,NSW,4,Hatchback,5,5,49900.0
MG,2021.0,HS,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,28523.0,NSW,4,SUV,4,5,26888.0
Kia,2020.0,Cerato,AUS Vehicle Sales - Bassendean,USED,Automatic,2.0,Front,Unleaded,7.4,58860.0,WA,4,Hatchback,4,5,22490.0
Volkswagen,2021.0,Golf,Hatchback,USED,Automatic,2.0,Front,Premium,7.0,13785.0,NSW,4,Hatchback,5,5,52990.0
Mitsubishi,2017.0,Outlander,SUV,USED,Automatic,2.0,Front,Unleaded,6.6,61512.0,NSW,4,SUV,4,7,25990.0
Volkswagen,2023.0,T-Cross,Sutherland Volkswagen New Cars,NEW,Automatic,1.0,Front,Premium,5.4,27.0,NSW,3,SUV,4,5,31890.0
Hyundai,2018.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,93080.0,NSW,4,Hatchback,4,5,18888.0
Volkswagen,2022.0,Arteon,Sutherland Volkswagen New Cars,DEMO,Automatic,2.0,AWD,Premium,7.5,1712.0,NSW,4,Wagon,5,5,68880.0
Toyota,2016.0,Corolla,My Car Choice,USED,Automatic,2.0,Other,Unleaded,7.4,124038.0,NSW,4,Wagon,4,5,21999.0
Audi,2022.0,A3,Audi Centre Sydney Pre-Owned,DEMO,Automatic,1.5,Front,Premium,4.9,5709.0,NSW,4,Sedan,4,5,47880.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,54784.0,NSW,4,Hatchback,4,5,22990.0
Toyota,2020.0,Hilux,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,8.4,61939.0,NSW,4,Ute / Tray,4,5,69990.0
Mercedes-Benz,2017.0,V250,Wagon,USED,Automatic,2.1,Rear,Diesel,6.3,116969.0,WA,4,Wagon,4,7,59990.0
Audi,2018.0,A3,Other,USED,Automatic,1.4,Front,Premium,5.0,34921.0,NSW,4,Other,4,5,30880.0
