Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2021.0,Yaris,SUV,USED,Automatic,1.5,AWD,Hybrid,4.0,9925.0,VIC,3,SUV,4,5,41888.0
Isuzu,2016.0,D-MAX,Ute / Tray,USED,Manual,3.0,4WD,Diesel,8.2,155824.0,QLD,4,Ute / Tray,2,4,37980.0
Toyota,2021.0,RAV4,SUV,USED,Automatic,2.5,Front,Hybrid,4.7,35430.0,QLD,4,SUV,5,5,52992.0
Holden,2007.0,Astra,Convertible,USED,Automatic,2.2,Front,Unleaded,9.7,175600.0,VIC,4,Convertible,2,4,8800.0
GWM,2022.0,Haval,Springwood GWM HAVAL,DEMO,Automatic,1.5,Front,Hybrid,5.0,10.0,QLD,4,SUV,4,5,37881.0
Hyundai,2020.0,Kona,SUV,USED,Automatic,2.0,Front,Unleaded,7.2,54124.0,QLD,4,SUV,4,5,26990.0
Holden,2009.0,Commodore,Wagon,USED,Automatic,3.6,Rear,Unleaded,10.7,285000.0,VIC,6,Wagon,4,5,9499.0
Volkswagen,2020.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Premium,8.1,38256.0,VIC,4,SUV,4,5,48563.0
LDV,2021.0,T60,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,8.5,6461.0,QLD,4,Ute / Tray,4,5,34990.0
Ford,2014.0,Ranger,Brisbane's Cheaper Cars,USED,Automatic,2.0,Other,Diesel,7.4,177128.0,QLD,4,Ute / Tray,4,5,29990.0
Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,9.1,139585.0,QLD,4,Ute / Tray,2,2,32995.0
Hyundai,2022.0,Kona,SUV,USED,Automatic,2.0,Front,Premium,9.0,7411.0,VIC,4,SUV,4,5,55998.0
Subaru,2011.0,Forester,SUV,USED,Automatic,2.5,AWD,Unleaded,9.3,148000.0,QLD,4,SUV,4,5,11800.0
Subaru,2012.0,Impreza,Hatchback,USED,Automatic,2.0,AWD,Unleaded,6.8,120316.0,QLD,4,Hatchback,5,5,17990.0
Nissan,2022.0,X-Trail,SUV,USED,Automatic,2.5,4WD,Unleaded,7.8,4894.0,VIC,4,SUV,4,7,51990.0
Ford,2017.0,Ranger,Ute / Tray,USED,Automatic,3.2,4WD,Diesel,8.7,134586.0,VIC,5,Ute / Tray,4,4,37990.0
MG,2021.0,HS,Blinkr,USED,Automatic,2.0,Front,Premium,7.4,33109.0,VIC,4,SUV,4,5,31910.0
Toyota,2020.0,RAV4,SUV,USED,Automatic,2.0,Front,Unleaded,6.5,40395.0,VIC,4,SUV,5,5,44970.0
Volkswagen,2021.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Premium,8.5,44120.0,VIC,4,SUV,4,5,58990.0
Kia,2020.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,52898.0,VIC,4,Sedan,4,5,25490.0
Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,2.4,Rear,Diesel,7.3,85274.0,VIC,4,Ute / Tray,2,2,30850.0
Ford,2018.0,Ranger,Ute / Tray,USED,Automatic,3.2,4WD,Diesel,8.7,89111.0,QLD,5,Ute / Tray,4,4,45498.0
Kia,2020.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,52844.0,VIC,4,Sedan,4,5,25490.0
Mitsubishi,2017.0,Outlander,SUV,USED,Automatic,2.0,Front,Unleaded,6.6,14171.0,VIC,4,SUV,4,7,30950.0
Toyota,2018.0,RAV4,SUV,USED,Automatic,2.0,Front,Unleaded,7.0,51022.0,VIC,4,SUV,4,5,34480.0
Hyundai,2017.0,Tucson,SUV,USED,Automatic,2.0,AWD,Diesel,6.8,89564.0,VIC,4,SUV,4,5,27888.0
Kia,2022.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,12421.0,VIC,4,Hatchback,5,5,29990.0
Kia,2020.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,51232.0,VIC,4,Sedan,4,5,25490.0
Mitsubishi,2019.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,72887.0,QLD,4,SUV,4,5,23499.0
Nissan,2019.0,Qashqai,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,41828.0,QLD,4,SUV,4,5,33950.0
Honda,2013.0,CR-V,SUV,USED,Automatic,2.4,4WD,Unleaded,8.7,126861.0,QLD,4,SUV,4,5,18881.0
Audi,2021.0,Q5,SUV,USED,Automatic,2.0,AWD,Hybrid,8.0,37605.0,VIC,4,SUV,4,5,73990.0
Holden,2016.0,Colorado,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,9.0,116468.0,QLD,4,Ute / Tray,4,5,33990.0
Nissan,2014.0,X-Trail,SUV,USED,Automatic,2.5,Front,Unleaded,7.9,93689.0,QLD,4,SUV,4,5,21990.0
Peugeot,2013.0,2008,SUV,USED,Manual,1.6,Front,Premium,5.9,69042.0,VIC,4,SUV,4,5,14990.0
Toyota,2007.0,Corolla,Hatchback,USED,Manual,1.8,Front,Unleaded,7.4,154427.0,VIC,4,Hatchback,5,5,9499.0
Audi,2017.0,Q5,SUV,USED,Automatic,2.0,AWD,Diesel,6.0,116997.0,QLD,4,SUV,4,5,37990.0
Ford,2011.0,Territory,SUV,USED,Automatic,2.7,AWD,Diesel,8.8,105993.0,QLD,6,SUV,4,5,17990.0
Volkswagen,2018.0,Amarok,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,9.0,123148.0,QLD,6,Ute / Tray,4,5,39900.0
Hyundai,2019.0,Sonata,Sedan,USED,Automatic,2.4,Front,Unleaded,8.3,125697.0,QLD,4,Sedan,4,5,19498.0
Hyundai,2023.0,I30,Westpoint Autos Hyundai New Cars,NEW,Automatic,2.0,Front,Premium,8.2,20.0,QLD,4,Sedan,4,5,54573.0
Kia,2021.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,13424.0,VIC,4,Hatchback,5,5,29990.0
BMW,2021.0,118I,Hatchback,USED,Automatic,1.5,Front,Premium,5.9,9090.0,VIC,3,Hatchback,5,5,48995.0
Lexus,2019.0,NX300H,SUV,USED,Automatic,2.5,AWD,Hybrid,5.7,36019.0,VIC,4,SUV,4,5,56880.0
Honda,2015.0,Jazz,Hatchback,USED,Automatic,1.5,Front,Unleaded,5.8,36500.0,VIC,4,Hatchback,5,5,19990.0
Mitsubishi,2012.0,Triton,Ute / Tray,USED,Automatic,2.5,Rear,Diesel,9.1,183512.0,QLD,4,Ute / Tray,2,3,16995.0
Nissan,2012.0,Navara,Ute / Tray,USED,Manual,2.5,4WD,Diesel,9.8,264835.0,VIC,4,Ute / Tray,4,5,13999.0
Isuzu,2019.0,D-MAX,Ute / Tray,USED,Automatic,3.0,Rear,Diesel,7.5,94559.0,VIC,4,Ute / Tray,2,4,35970.0
Mitsubishi,2013.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.9,184515.0,VIC,4,SUV,4,5,13999.0
Mitsubishi,2021.0,Pajero,SUV,USED,Automatic,2.4,4WD,Diesel,8.0,35604.0,QLD,4,SUV,4,7,54990.0
Kia,2018.0,Sportage,SUV,USED,Automatic,2.0,AWD,Diesel,6.4,147446.0,QLD,4,SUV,4,5,23998.0
Audi,2013.0,SQ5,SUV,USED,Automatic,3.0,AWD,Diesel,6.8,94683.0,QLD,6,SUV,5,5,31538.0
Kia,2021.0,Stonic,SUV,USED,Automatic,1.4,Front,Unleaded,6.7,34082.0,QLD,4,SUV,4,5,23998.0
Holden,2016.0,Commodore,Sedan,USED,Automatic,3.0,Rear,Unleaded,8.3,124517.0,QLD,6,Sedan,4,5,21940.0
Ford,2011.0,Territory,SUV,USED,Automatic,2.7,Rear,Diesel,8.2,175452.0,QLD,6,SUV,4,5,9999.0
Toyota,2021.0,RAV4,SUV,USED,Automatic,2.5,Front,Hybrid,4.7,60118.0,QLD,4,SUV,5,5,46990.0
Kia,2021.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,19795.0,QLD,4,Sedan,4,5,27990.0
Kia,2019.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,73963.0,VIC,4,Hatchback,5,5,23888.0
Ford,2015.0,Ranger,Ute / Tray,USED,Manual,3.2,4WD,Diesel,8.9,271216.0,VIC,5,Ute / Tray,4,4,26990.0
Volkswagen,2013.0,Polo,Hatchback,USED,Automatic,1.6,Front,Diesel,4.6,82695.0,QLD,4,Hatchback,5,5,14990.0
Kia,2020.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,50695.0,VIC,4,Sedan,4,5,25490.0
Honda,2013.0,Accord,Sedan,USED,Automatic,2.4,Front,Unleaded,8.1,199912.0,VIC,4,Sedan,4,5,16799.0
Toyota,2019.0,Yaris,Hatchback,USED,Automatic,1.3,Front,Unleaded,6.4,32752.0,QLD,4,Hatchback,5,5,20790.0
Hyundai,2019.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,31617.0,VIC,4,Hatchback,4,5,26990.0
Mazda,2018.0,3,Sedan,USED,Automatic,2.5,Front,Unleaded,6.0,58493.0,VIC,4,Sedan,4,5,31990.0
Kia,2020.0,Sportage,Blinkr,USED,Automatic,2.0,Front,Unleaded,7.4,42389.0,VIC,4,SUV,4,5,29868.0
Mazda,2008.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,8.4,210137.0,VIC,4,Sedan,4,5,7999.0
Holden,2011.0,Barina,Sedan,USED,Manual,1.6,Front,Unleaded,7.2,94820.0,VIC,4,Sedan,4,5,6999.0
BMW,2005.0,320I,Sedan,USED,Automatic,2.0,Rear,Unleaded,11.0,118126.0,VIC,4,Sedan,4,5,9999.0
Mitsubishi,2019.0,Triton,Ute / Tray,USED,Automatic,2.4,4WD,Diesel,8.6,101306.0,VIC,4,Ute / Tray,4,5,43990.0
Kia,2020.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,53374.0,VIC,4,Sedan,4,5,25490.0
Holden,2013.0,Trax,SUV,USED,Automatic,1.8,Front,Unleaded,7.6,216315.0,QLD,4,SUV,4,5,12995.0
Mitsubishi,2020.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,46082.0,VIC,4,SUV,4,5,28990.0
Ssangyong,2023.0,Musso,Bay City HSV & Suzuki,NEW,Automatic,2.2,4WD,Diesel,9.0,22.0,VIC,4,Ute / Tray,4,5,45185.0
Hyundai,2018.0,I30,Hatchback,USED,Automatic,1.6,Front,Unleaded,7.5,28561.0,QLD,4,Hatchback,4,5,28990.0
Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,9.1,99905.0,VIC,4,Ute / Tray,4,5,41990.0
Toyota,2022.0,Yaris,Hatchback,USED,Automatic,1.5,Front,Unleaded,4.9,31600.0,QLD,3,Hatchback,5,5,35990.0
Kia,2020.0,Carnival,Wagon,USED,Automatic,3.3,Front,Unleaded,10.8,56793.0,VIC,6,Wagon,4,8,38990.0
Great,2013.0,Wall,SUV,USED,Automatic,2.0,4WD,Diesel,9.2,201113.0,QLD,4,SUV,4,5,11995.0
Volkswagen,2008.0,Caddy,Commercial,USED,Automatic,1.9,Front,Diesel,6.7,249709.0,VIC,4,Commercial,5,2,13988.0
Volkswagen,2013.0,Passat,Wagon,USED,Automatic,2.0,Front,Diesel,5.4,138621.0,VIC,4,Wagon,4,5,16500.0
Mitsubishi,2019.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,88989.0,VIC,4,SUV,4,5,28990.0
Porsche,2014.0,Macan,SUV,USED,Automatic,3.6,AWD,Premium,8.9,92611.0,VIC,6,SUV,4,5,69990.0
Mercedes-Benz,2013.0,A45,Hatchback,USED,Automatic,2.0,AWD,Premium,6.9,116359.0,QLD,4,Hatchback,5,5,34888.0
Hyundai,2014.0,Elantra,Sedan,USED,Automatic,1.8,Front,Unleaded,7.1,132201.0,QLD,4,Sedan,4,5,11999.0
Mazda,2017.0,CX-9,SUV,USED,Automatic,2.5,AWD,Unleaded,8.8,93228.0,VIC,4,SUV,4,7,38990.0
Volkswagen,2012.0,Jetta,Sedan,USED,Automatic,2.0,Front,Premium,7.9,127800.0,QLD,4,Sedan,4,5,10995.0
Mitsubishi,2012.0,Triton,Ute / Tray,USED,Manual,2.4,Rear,Unleaded,10.9,113885.0,QLD,4,Ute / Tray,2,3,16888.0
Jeep,2022.0,Compass,SUV,USED,Automatic,2.4,Front,Unleaded,7.9,12880.0,VIC,4,SUV,4,5,39990.0
Mitsubishi,2019.0,Outlander,SUV,USED,Automatic,2.4,AWD,Unleaded,7.2,69908.0,VIC,4,SUV,4,7,31950.0
Nissan,2017.0,Navara,M1 Used Cars,USED,Automatic,2.0,Other,Diesel,7.4,129671.0,QLD,4,Ute / Tray,4,5,37990.0
Nissan,2007.0,Navara,Ute / Tray,USED,Automatic,2.5,4WD,Diesel,10.5,265147.0,VIC,4,Ute / Tray,4,5,12988.0
Suzuki,2022.0,Swift,DEMO,DEMO,Automatic,2.0,Front,Unleaded,7.4,20.0,QLD,4,Hatchback,4,5,26990.0
BMW,2017.0,X3,SUV,USED,Automatic,2.0,4WD,Premium,7.6,70069.0,QLD,4,SUV,4,5,47990.0
Toyota,2013.0,Corolla,Hatchback,USED,Automatic,1.8,Front,Unleaded,6.6,122097.0,VIC,4,Hatchback,5,5,16999.0
Hyundai,2022.0,I30,Sedan,USED,Manual,2.0,Front,Premium,8.2,5900.0,VIC,4,Sedan,4,5,44980.0
Hyundai,2017.0,Kona,SUV,USED,Automatic,1.6,AWD,Unleaded,6.7,156025.0,QLD,4,SUV,4,5,20990.0
Toyota,2019.0,Hilux,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,8.5,40440.0,QLD,4,Ute / Tray,4,5,66990.0
Toyota,2006.0,Corolla,Sedan,USED,Manual,1.8,Front,Unleaded,7.4,103279.0,QLD,4,Sedan,4,5,6999.0
Toyota,2016.0,Kluger,Patterson Cheney Toyota Used Cars,USED,Automatic,2.0,Front,Unleaded,7.4,133167.0,VIC,4,Wagon,4,5,37970.0
Mazda,2015.0,CX-3,SUV,USED,Automatic,2.0,Front,Unleaded,6.1,94051.0,QLD,4,SUV,4,5,20390.0
Kia,2022.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,11721.0,VIC,4,Sedan,4,5,31990.0
Jeep,2020.0,Cherokee,BRIGHTON CHRYSLER JEEP USED CARS,USED,Automatic,2.0,Other,Unleaded,7.4,54000.0,VIC,4,SUV,4,5,44990.0
Hyundai,2022.0,Santa,SUV,USED,Automatic,2.2,AWD,Diesel,6.1,6715.0,QLD,4,SUV,4,7,65880.0
Mitsubishi,2011.0,Lancer,Hatchback,USED,Automatic,2.0,Front,Unleaded,8.3,98543.0,VIC,4,Hatchback,5,5,9999.0
GWM,2022.0,Haval,Hillcrest GWM HAVAL,DEMO,Automatic,2.0,Front,Unleaded,7.5,391.0,QLD,4,SUV,4,5,38798.0
Hyundai,2023.0,Santa,Hillcrest Hyundai New Cars,NEW,Automatic,2.2,AWD,Diesel,6.1,11.0,QLD,4,SUV,4,7,58231.0
Volvo,2019.0,XC60,SUV,USED,Automatic,2.0,AWD,Premium,7.8,64721.0,QLD,4,SUV,4,5,47980.0
Mercedes-Benz,2016.0,GLA180,SUV,USED,Automatic,1.6,Front,Premium,5.7,94145.0,QLD,4,SUV,4,5,29888.0
Skoda,2017.0,Kodiaq,SUV,USED,Automatic,2.0,4WD,Premium,7.6,120941.0,QLD,4,SUV,4,7,27990.0
Mitsubishi,2019.0,Triton,Ute / Tray,USED,Manual,2.4,4WD,Diesel,7.9,71732.0,VIC,4,Ute / Tray,4,5,40980.0
Mitsubishi,2019.0,Outlander,SUV,USED,Automatic,2.4,AWD,Unleaded,7.2,71000.0,VIC,4,SUV,4,7,31450.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,24561.0,VIC,4,Hatchback,4,5,26990.0
Mitsubishi,2022.0,Outlander,SUV,USED,Automatic,2.5,Front,Unleaded,7.7,13516.0,VIC,4,SUV,4,7,49950.0
Hyundai,2014.0,Santa,SUV,USED,Automatic,2.2,AWD,Diesel,7.3,52464.0,VIC,4,SUV,4,7,29490.0
Kia,2019.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,79233.0,VIC,4,Hatchback,5,5,21000.0
Nissan,2004.0,Pulsar,Sedan,USED,Automatic,1.8,Front,Unleaded,7.9,215000.0,QLD,4,Sedan,4,5,5900.0
Nissan,2008.0,Tiida,Hatchback,USED,Manual,1.8,Front,Unleaded,7.6,128791.0,QLD,4,Hatchback,5,5,7990.0
Mitsubishi,2017.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.4,138589.0,QLD,4,SUV,4,5,19990.0
GWM,2023.0,Haval,Kedron Haval & Great Wall Online,NEW,Automatic,1.5,Front,Premium,8.1,9.0,QLD,4,SUV,4,5,28985.0
Mitsubishi,2020.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,54500.0,QLD,4,SUV,4,5,26990.0
Holden,2014.0,Captiva,SUV,USED,Automatic,2.4,Front,Unleaded,9.0,116286.0,QLD,4,SUV,4,7,12500.0
Toyota,2012.0,Estima,Wacol Wholesale Cars,USED,Automatic,2.0,Other,Unleaded,7.4,118051.0,QLD,4,Wagon,4,5,17995.0
Land,2016.0,Rover,SUV,USED,Automatic,2.2,AWD,Diesel,6.0,118101.0,QLD,4,SUV,4,5,28888.0
GWM,2023.0,Haval,Kedron Haval & Great Wall Online,DEMO,Automatic,1.5,Front,Premium,8.1,14.0,QLD,4,SUV,4,5,28490.0
Nissan,2011.0,Dualis,SUV,USED,Manual,2.0,AWD,Unleaded,8.3,202257.0,VIC,4,SUV,4,5,9499.0
Suzuki,2006.0,Swift,LV's Discount Cars,USED,Automatic,2.0,Front,Unleaded,7.4,257314.0,QLD,4,Hatchback,4,5,6999.0
Toyota,2017.0,Kluger,SUV,USED,Automatic,3.5,AWD,Unleaded,9.5,70925.0,QLD,6,SUV,4,7,46380.0
Volkswagen,2019.0,Tiguan,SUV,USED,Automatic,2.0,AWD,Premium,8.3,22140.0,QLD,4,SUV,4,7,50470.0
Mazda,2022.0,CX-5,SUV,USED,Automatic,2.5,AWD,Unleaded,7.5,12139.0,VIC,4,SUV,4,5,44990.0
Toyota,2021.0,Hilux,Ute / Tray,USED,Automatic,2.7,Front,Unleaded,10.9,54016.0,VIC,4,Ute / Tray,2,2,37990.0
Honda,2016.0,Civic,Sedan,USED,Automatic,1.5,Front,Unleaded,6.0,72988.0,VIC,4,Sedan,4,5,25687.0
Renault,2023.0,Koleos,Frankston Renault and Isuzu,NEW,Automatic,2.5,Front,Unleaded,8.1,22.0,VIC,4,SUV,4,5,50820.0
Kia,2020.0,Carnival,Wagon,USED,Automatic,3.3,Front,Unleaded,10.8,45098.0,VIC,6,Wagon,4,8,38990.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,60101.0,VIC,4,Hatchback,4,5,25980.0
BMW,2021.0,330I,Sedan,USED,Automatic,2.0,Rear,Premium,6.4,26871.0,QLD,4,Sedan,4,5,61998.0
Kia,2014.0,Soul,Hatchback,USED,Automatic,2.0,Front,Unleaded,8.4,72798.0,QLD,4,Hatchback,4,5,17988.0
Mitsubishi,2018.0,ASX,SUV,USED,Automatic,2.0,Front,Unleaded,7.6,83521.0,QLD,4,SUV,4,5,24890.0
Mazda,2018.0,CX-9,SUV,USED,Automatic,2.5,AWD,Unleaded,8.8,69485.0,VIC,4,SUV,4,7,47990.0
Mazda,2018.0,CX-5,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,44043.0,VIC,4,SUV,4,5,33888.0
Nissan,2019.0,Qashqai,SUV,USED,Automatic,2.0,Front,Unleaded,6.9,63562.0,VIC,4,SUV,4,5,26490.0
Nissan,2017.0,Navara,Ute / Tray,USED,Automatic,2.3,4WD,Diesel,7.0,175835.0,QLD,4,Ute / Tray,4,5,29990.0
Nissan,2015.0,Pathfinder,SUV,USED,Automatic,3.5,Front,Premium,9.9,91255.0,VIC,6,SUV,4,7,24479.0
Mercedes-Benz,2013.0,C200,Sedan,USED,Automatic,1.8,Rear,Premium,6.8,105221.0,QLD,4,Sedan,4,5,17888.0
Mazda,2020.0,CX-5,SUV,USED,Automatic,2.5,AWD,Unleaded,7.5,13349.0,QLD,4,SUV,4,5,37950.0
Ford,2013.0,Kuga,SUV,USED,Automatic,2.0,AWD,Diesel,6.3,69032.0,QLD,4,SUV,4,5,21900.0
Toyota,2005.0,Prius,Hatchback,USED,Automatic,1.5,Front,Hybrid,4.4,200030.0,VIC,4,Hatchback,5,5,12999.0
GWM,2021.0,UTE,Ute / Tray,USED,Automatic,2.0,4WD,Diesel,9.4,41114.0,QLD,4,Ute / Tray,4,5,35990.0
GWM,2022.0,Haval,Springwood GWM HAVAL,NEW,Automatic,2.0,Front,Unleaded,7.5,20.0,QLD,4,SUV,4,5,41485.0
BMW,2014.0,X4,SUV,USED,Automatic,2.0,AWD,Premium,7.3,105012.0,VIC,4,SUV,5,5,32999.0
Mazda,2012.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,8.2,181070.0,QLD,4,Sedan,4,5,12990.0
Honda,2015.0,Fit,Cheapest Cars Melbourne,USED,Automatic,2.0,Other,Unleaded,7.4,81017.0,VIC,4,Hatchback,4,5,19995.0
Holden,2014.0,Commodore,Sedan,USED,Automatic,3.6,Rear,Unleaded,9.5,208033.0,VIC,6,Sedan,4,5,20999.0
Hyundai,2014.0,I20,Hatchback,USED,Automatic,1.4,Front,Unleaded,5.9,178545.0,QLD,4,Hatchback,3,5,10505.0
Holden,2011.0,Cruze,Hatchback,USED,Automatic,1.4,Front,Unleaded,6.9,148711.0,QLD,4,Hatchback,5,5,11990.0
Hyundai,2014.0,I30,Wagon,USED,Automatic,1.6,Front,Unleaded,6.9,104439.0,QLD,4,Wagon,4,5,16990.0
GWM,2023.0,Haval,Hillcrest GWM HAVAL,DEMO,Automatic,2.0,Front,Premium,9.8,644.0,QLD,4,SUV,4,5,38920.0
Mazda,2015.0,3,Sedan,USED,Automatic,2.0,Front,Unleaded,5.7,90364.0,VIC,4,Sedan,4,5,19990.0
Volkswagen,2021.0,Amarok,Ute / Tray,USED,Automatic,3.0,4WD,Diesel,9.5,28925.0,QLD,6,Ute / Tray,4,5,71995.0
GWM,2022.0,UTE,NEW In stock,NEW,Automatic,2.0,Other,Diesel,7.4,23.0,QLD,4,Ute / Tray,4,5,52990.0
Holden,2013.0,Colorado,Ute / Tray,USED,Automatic,2.8,4WD,Diesel,9.1,159220.0,QLD,4,Ute / Tray,4,5,27990.0
Kia,2015.0,Sorento,SUV,USED,Automatic,2.2,AWD,Diesel,7.8,82177.0,QLD,4,SUV,4,7,32135.0
Holden,2016.0,Commodore,Wagon,USED,Automatic,3.6,Rear,Unleaded,9.8,118199.0,VIC,6,Wagon,4,5,29990.0
Holden,2016.0,Cruze,Sedan,USED,Automatic,1.6,Front,Unleaded,7.9,124889.0,VIC,4,Sedan,4,5,14980.0
Toyota,2013.0,Camry,Sedan,USED,Automatic,2.5,Front,Unleaded,7.8,167190.0,VIC,4,Sedan,4,5,16990.0
Hyundai,2020.0,I30,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,53544.0,VIC,4,Hatchback,4,5,25900.0
Mazda,2022.0,BT-50,Wippells Autos,USED,Automatic,2.0,Other,Diesel,7.4,13.0,QLD,4,Ute / Tray,4,5,56995.0
Toyota,2011.0,Aurion,Sedan,USED,Automatic,3.5,Front,Unleaded,9.9,162969.0,VIC,6,Sedan,4,5,11999.0
Hyundai,2012.0,I30,Hatchback,USED,Automatic,1.6,Front,Diesel,5.6,199499.0,QLD,4,Hatchback,5,5,13990.0
Kia,2009.0,Sorento,SUV,USED,Manual,2.5,4WD,Diesel,8.5,253390.0,VIC,4,SUV,4,5,7999.0
MG,2021.0,HS,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,14060.0,QLD,4,SUV,4,5,34990.0
Land,2015.0,Rover,SUV,USED,Automatic,3.0,AWD,Diesel,7.5,145000.0,VIC,6,SUV,4,5,59950.0
Hyundai,2014.0,I30,Hatchback,USED,Automatic,1.8,Front,Unleaded,7.1,83257.0,VIC,4,Hatchback,5,5,19970.0
Kia,2013.0,Sorento,SUV,USED,Automatic,2.2,AWD,Diesel,7.3,204052.0,VIC,4,SUV,4,7,19999.0
Holden,2018.0,Colorado,Ute / Tray,USED,Automatic,2.8,Rear,Diesel,8.9,95842.0,QLD,4,Ute / Tray,4,5,27990.0
Ssangyong,2023.0,Korando,Brighton Ssangyong,NEW,Automatic,1.5,Front,Unleaded,7.7,10.0,VIC,4,SUV,5,5,33500.0
Ssangyong,2023.0,Musso,Bay City HSV & Suzuki,NEW,Automatic,2.2,4WD,Diesel,8.6,22.0,VIC,4,Ute / Tray,4,5,43685.0
Toyota,2004.0,Corolla,Hatchback,USED,Manual,1.8,Front,Unleaded,8.0,249000.0,VIC,4,Hatchback,5,5,5590.0
Fiat,2013.0,Freemont,SUV,USED,Automatic,2.4,Front,Unleaded,9.8,169433.0,QLD,4,SUV,4,5,15990.0
Kia,2020.0,Cerato,Hatchback,USED,Automatic,2.0,Front,Unleaded,7.4,63851.0,VIC,4,Hatchback,5,5,25490.0
Audi,2018.0,A5,Motorama Mitsubishi Moorooka Used,USED,Automatic,2.0,Other,Premium,7.4,26356.0,QLD,4,Convertible,4,5,65987.0
GWM,2022.0,Haval,Hillcrest GWM HAVAL,NEW,Automatic,1.5,Front,Hybrid,5.0,22.0,QLD,4,SUV,4,5,40990.0
BMW,2014.0,228I,Coupe,USED,Automatic,2.0,Rear,Premium,6.3,142996.0,QLD,4,Coupe,2,4,26990.0
Kia,2022.0,Cerato,Sedan,USED,Automatic,2.0,Front,Unleaded,7.4,19260.0,VIC,4,Sedan,4,5,31990.0
Mitsubishi,2022.0,Triton,Ute / Tray,USED,Automatic,2.4,4WD,Diesel,8.6,6636.0,QLD,4,Ute / Tray,4,5,51990.0
Suzuki,2011.0,Alto,Hatchback,USED,Automatic,1.0,Front,Premium,5.5,114826.0,VIC,3,Hatchback,5,4,11990.0
Kia,2013.0,RIO,Hatchback,USED,Automatic,1.6,Front,Unleaded,6.1,79150.0,QLD,4,Hatchback,3,5,15499.0
Subaru,2012.0,XV,SUV,USED,Manual,2.0,AWD,Unleaded,7.3,234325.0,QLD,4,SUV,4,5,7999.0
Mazda,2022.0,CX-30,SUV,USED,Automatic,2.5,Front,Unleaded,6.6,5941.0,VIC,4,SUV,4,5,42990.0
GWM,2022.0,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",NEW,Automatic,1.5,Front,Premium,8.1,20.0,QLD,4,SUV,4,5,34485.0
GWM,2022.0,Haval,Springwood GWM HAVAL,NEW,Automatic,1.5,Front,Premium,8.1,20.0,QLD,4,SUV,4,5,31485.0
Mitsubishi,2019.0,Eclipse,SUV,USED,Automatic,1.5,Front,Unleaded,7.3,57408.0,VIC,4,SUV,4,5,29950.0
Mazda,2023.0,CX-30,Mount Gravatt Mazda New,NEW,Automatic,2.5,Front,Unleaded,6.6,25.0,QLD,4,SUV,4,5,40888.0
Mercedes-Benz,2016.0,C200,Sedan,USED,Automatic,2.0,Rear,Premium,6.0,75148.0,QLD,4,Sedan,4,5,36995.0
BMW,2015.0,X5,SUV,USED,Automatic,3.0,AWD,Diesel,6.2,135633.0,QLD,6,SUV,4,5,31995.0
